core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit,sit_no_work_window_active,source_cores
0,0,0.000000,8.000000,8.000000,1.000000,1,0.958000,0.042000,0.000000,0.958000,0.958000,1
0,1,8.000000,16.000000,8.000000,1.000000,1,0.942625,0.057375,0.000000,0.942625,0.942625,1
0,2,16.000000,24.000000,8.000000,1.000000,1,0.951250,0.048750,0.000000,0.951250,0.951250,1
0,3,24.000000,32.000000,8.000000,1.000000,1,0.943125,0.056875,0.000000,0.943125,0.943125,1
0,4,32.000000,40.000000,8.000000,1.000000,1,0.951000,0.049000,0.000000,0.951000,0.951000,1
0,5,40.000000,48.000000,8.000000,1.000000,1,0.942875,0.057125,0.000000,0.942875,0.942875,1
0,6,48.000000,56.000000,8.000000,1.000000,1,0.950750,0.049250,0.000000,0.950750,0.950750,1
0,7,56.000000,64.000000,8.000000,1.000000,1,0.942750,0.057250,0.000000,0.942750,0.942750,1
0,8,64.000000,72.000000,8.000000,1.000000,1,0.950750,0.049250,0.000000,0.950750,0.950750,1
0,9,72.000000,80.000000,7.950000,0.993750,1,0.948176,0.051824,0.000000,0.948176,0.948176,1
