core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,0,0.0,256.0,255.0,0.99609375,1,0.38823529411764707,0.611764705882353,0.0,0.2980392156862745
0,1,256.0,512.0,256.0,1.0,1,0.390625,0.609375,0.0,0.30078125
0,2,512.0,768.0,256.0,1.0,1,0.3984375,0.6015625,0.0,0.30859375
0,3,768.0,1024.0,256.0,1.0,1,0.38671875,0.61328125,0.0,0.296875
0,4,1024.0,1280.0,253.0,0.98828125,1,0.3952569169960474,0.6047430830039525,0.0,0.30434782608695654
1,0,0.0,256.0,255.0,0.99609375,1,0.38823529411764707,0.611764705882353,0.0,0.2980392156862745
1,1,256.0,512.0,256.0,1.0,1,0.390625,0.609375,0.0,0.30078125
1,2,512.0,768.0,256.0,1.0,1,0.3984375,0.6015625,0.0,0.30859375
1,3,768.0,1024.0,256.0,1.0,1,0.38671875,0.61328125,0.0,0.296875
1,4,1024.0,1280.0,253.0,0.98828125,1,0.3952569169960474,0.6047430830039525,0.0,0.30434782608695654
2,0,0.0,256.0,255.0,0.99609375,1,0.38823529411764707,0.611764705882353,0.0,0.2980392156862745
2,1,256.0,512.0,256.0,1.0,1,0.390625,0.609375,0.0,0.30078125
2,2,512.0,768.0,256.0,1.0,1,0.3984375,0.6015625,0.0,0.30859375
2,3,768.0,1024.0,256.0,1.0,1,0.38671875,0.61328125,0.0,0.296875
2,4,1024.0,1280.0,253.0,0.98828125,1,0.3952569169960474,0.6047430830039525,0.0,0.30434782608695654
3,0,0.0,256.0,255.0,0.99609375,1,0.38823529411764707,0.611764705882353,0.0,0.2980392156862745
3,1,256.0,512.0,256.0,1.0,1,0.390625,0.609375,0.0,0.30078125
3,2,512.0,768.0,256.0,1.0,1,0.3984375,0.6015625,0.0,0.30859375
3,3,768.0,1024.0,256.0,1.0,1,0.38671875,0.61328125,0.0,0.296875
3,4,1024.0,1280.0,253.0,0.98828125,1,0.3952569169960474,0.6047430830039525,0.0,0.30434782608695654
