core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit
0,161100576,41241747456.0,41241747712.0,132.0,0.515625,1,1.0,0.0,0.0,1.0
0,161100577,41241747712.0,41241747968.0,256.0,1.0,1,0.40897097625329815,0.26649076517150394,0.3245382585751979,0.40897097625329815
0,161100578,41241747968.0,41241748224.0,256.0,1.0,1,0.2545871559633027,0.33256880733944955,0.41284403669724773,0.2545871559633027
0,161100579,41241748224.0,41241748480.0,256.0,1.0,1,0.06209850107066381,0.4860813704496788,0.4518201284796574,0.06209850107066381
0,161100580,41241748480.0,41241748736.0,256.0,1.0,1,0.07623318385650224,0.4977578475336323,0.4260089686098655,0.07623318385650224
0,161100581,41241748736.0,41241748992.0,256.0,1.0,1,0.08779443254817987,0.4603854389721627,0.4518201284796574,0.08779443254817987
0,161100582,41241748992.0,41241749248.0,256.0,1.0,1,0.10042735042735043,0.4465811965811966,0.452991452991453,0.10042735042735043
0,161100583,41241749248.0,41241749504.0,256.0,1.0,1,0.09615384615384616,0.45085470085470086,0.452991452991453,0.09615384615384616
0,161100584,41241749504.0,41241749760.0,256.0,1.0,1,0.10191082802547771,0.4416135881104034,0.4564755838641189,0.10191082802547771
0,161100585,41241749760.0,41241750016.0,256.0,1.0,1,0.13070539419087138,0.4004149377593361,0.46887966804979253,0.13070539419087138
0,161100586,41241750016.0,41241750272.0,256.0,1.0,1,0.10480349344978165,0.45414847161572053,0.4410480349344978,0.10480349344978165
0,161100587,41241750272.0,41241750528.0,256.0,1.0,1,0.11751662971175167,0.4501108647450111,0.43237250554323725,0.11751662971175167
0,161100588,41241750528.0,41241750784.0,256.0,1.0,1,0.06086956521739131,0.4956521739130435,0.4434782608695652,0.06086956521739131
0,161100589,41241750784.0,41241751040.0,256.0,1.0,1,0.08771929824561403,0.47368421052631576,0.43859649122807015,0.08771929824561403
0,161100590,41241751040.0,41241751296.0,256.0,1.0,1,0.06423982869379015,0.48394004282655245,0.4518201284796574,0.06423982869379015
0,161100591,41241751296.0,41241751552.0,256.0,1.0,1,0.17248908296943233,0.3864628820960699,0.4410480349344978,0.17248908296943233
0,161100592,41241751552.0,41241751808.0,256.0,1.0,1,0.09803921568627451,0.4596949891067538,0.4422657952069717,0.09803921568627451
0,161100593,41241751808.0,41241752064.0,256.0,1.0,1,0.11868131868131868,0.44395604395604393,0.43736263736263736,0.11868131868131868
0,161100594,41241752064.0,41241752320.0,256.0,1.0,1,0.061052631578947365,0.47789473684210526,0.4610526315789474,0.061052631578947365
0,161100595,41241752320.0,41241752576.0,256.0,1.0,1,0.02795698924731183,0.5225806451612903,0.44946236559139785,0.02795698924731183
0,161100596,41241752576.0,41241752832.0,256.0,1.0,1,0.15384615384615385,0.4087912087912088,0.43736263736263736,0.15384615384615385
0,161100597,41241752832.0,41241753088.0,256.0,1.0,1,0.14105263157894737,0.39789473684210525,0.4610526315789474,0.14105263157894737
0,161100598,41241753088.0,41241753344.0,256.0,1.0,1,0.11674008810572688,0.44713656387665196,0.43612334801762115,0.11674008810572688
0,161100599,41241753344.0,41241753600.0,256.0,1.0,1,0.07905982905982906,0.46794871794871795,0.452991452991453,0.07905982905982906
0,161100600,41241753600.0,41241753856.0,131.0,0.51171875,1,0.2119815668202765,0.391705069124424,0.39631336405529954,0.2119815668202765
