2026-08-11T20:20:55.755153,--- DDR3 Vector Addition Benchmark (Integer OPs) ---
2026-08-11T20:20:55.819150,Sweeping vector sizes from 1024 to 1048576 elements...
2026-08-11T20:20:55.883146,Vector Size  | Cycles           | Time (us)        | MOPS
2026-08-11T20:20:55.963159,-------------------------------------------------------------------------
2026-08-11T20:20:56.027141,1024         | 497260           | 2486             | 0.41
2026-08-11T20:20:56.090973,2048         | 994672           | 4973             | 0.41
2026-08-11T20:20:56.155192,4096         | 1989569          | 9947             | 0.41
2026-08-11T20:20:56.251071,8192         | 3978999          | 19894            | 0.41
2026-08-11T20:20:56.410941,16384        | 7958123          | 39790            | 0.41
2026-08-11T20:20:56.682950,32768        | 15916842         | 79584            | 0.41
2026-08-11T20:20:57.163049,65536        | 31833468         | 159167           | 0.41
2026-08-11T20:20:58.090881,131072       | 63667247         | 318336           | 0.41
2026-08-11T20:20:59.914846,262144       | 127334405        | 636672           | 0.41
2026-08-11T20:21:03.498805,524288       | 254668891        | 1273344          | 0.41
2026-08-11T20:21:10.634502,1048576      | 509338100        | 2546690          | 0.41
2026-08-11T20:21:10.714386,-------------------------------------------------------------------------
2026-08-11T20:21:10.730552,Benchmark complete.
