core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit_no_work_window_active,sit_no_work_global_active,sit
0,0,0.0,256.0,255.915,0.99966796875,1,0.9174491530390951,0.08255084696090491,0.0,0.9174491530390951,0.8053804763029047,0.9174491530390951
0,1,256.0,512.0,207.00599999999997,0.8086171874999999,1,0.645807367902381,0.354192632097619,0.0,0.645807367902381,0.8053804763029047,0.645807367902381
1,0,0.0,256.0,255.908,0.999640625,1,0.9428192944339369,0.057180705566063174,0.0,0.9428192944339369,0.8053804763029047,0.9428192944339369
1,1,256.0,512.0,199.38600000000002,0.7788515625000001,1,0.6142657959937003,0.3857342040062997,0.0,0.6142657959937003,0.8053804763029047,0.6142657959937003
2,0,0.0,256.0,255.889,0.99956640625,1,0.9060803707857701,0.09391962921422987,0.0,0.9060803707857701,0.8053804763029047,0.9060803707857701
2,1,256.0,512.0,203.86399999999998,0.7963437499999999,1,0.6236265353372843,0.3763734646627157,0.0,0.6236265353372843,0.8053804763029047,0.6236265353372843
3,0,0.0,256.0,255.9,0.999609375,1,0.8880578350918328,0.11194216490816714,0.0,0.8880578350918328,0.8053804763029047,0.8880578350918328
3,1,256.0,512.0,219.81799999999998,0.8586640624999999,1,0.6965626108871881,0.3034373891128119,0.0,0.6965626108871881,0.8053804763029047,0.6965626108871881
4,0,0.0,256.0,255.885,0.99955078125,1,0.8752291068253317,0.12477089317466827,0.0,0.8752291068253317,0.8053804763029047,0.8752291068253317
4,1,256.0,512.0,208.50900000000001,0.8144882812500001,1,0.60334086298433,0.39665913701566996,0.0,0.60334086298433,0.8053804763029047,0.60334086298433
5,0,0.0,256.0,255.839,0.99937109375,1,0.894152181645488,0.10584781835451194,0.0,0.894152181645488,0.8053804763029047,0.894152181645488
5,1,256.0,512.0,237.97000000000003,0.9295703125000001,1,0.7425347732907498,0.25746522670925026,0.0,0.7425347732907498,0.8053804763029047,0.7425347732907498
6,0,0.0,256.0,255.816,0.99928125,1,0.9397926634768737,0.06020733652312628,0.0,0.9397926634768737,0.8053804763029047,0.9397926634768737
6,1,256.0,512.0,240.68200000000002,0.9401640625000001,1,0.7335696063685686,0.2664303936314314,0.0,0.7335696063685686,0.8053804763029047,0.7335696063685686
7,0,0.0,256.0,255.994,0.9999765625,1,0.9169668039094669,0.08303319609053304,0.0,0.9169668039094669,0.8053804763029047,0.9169668039094669
7,1,256.0,512.0,219.86,0.858828125,1,0.717597562084963,0.28240243791503705,0.0,0.717597562084963,0.8053804763029047,0.717597562084963
8,0,0.0,256.0,256.0,1.0,1,0.9090273437499997,0.09097265625000027,0.0,0.9090273437499997,0.8053804763029047,0.9090273437499997
8,1,256.0,512.0,177.00099999999998,0.6914101562499999,1,0.755854486697814,0.24414551330218603,0.0,0.755854486697814,0.8053804763029047,0.755854486697814
9,0,0.0,256.0,255.965,0.99986328125,1,0.8976344422088958,0.10236555779110416,1.1103748336844493e-16,0.8976344422088958,0.8053804763029047,0.8976344422088958
9,1,256.0,512.0,202.781,0.79211328125,1,0.8035269576538233,0.19647304234617674,0.0,0.8035269576538233,0.8053804763029047,0.8035269576538233
10,0,0.0,256.0,255.992,0.99996875,1,0.900633613550423,0.09936638644957686,0.0,0.900633613550423,0.8053804763029047,0.900633613550423
10,1,256.0,512.0,189.404,0.739859375,1,0.6941933644484808,0.30580663555151916,0.0,0.6941933644484808,0.8053804763029047,0.6941933644484808
11,0,0.0,256.0,255.98,0.999921875,1,0.9041917337291974,0.09580826627080266,0.0,0.9041917337291974,0.8053804763029047,0.9041917337291974
