core,window_id,window_start_us,window_end_us,resident_us,resident_frac_of_window,is_resident_window,active_frac,stall_frac,idle_frac,sit_no_work_window_active,sit_no_work_global_active,sit
0,0,0.0,256.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,1,256.0,512.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,2,512.0,768.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,3,768.0,1024.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,4,1024.0,1280.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,5,1280.0,1536.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,6,1536.0,1792.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,7,1792.0,2048.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,8,2048.0,2304.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,9,2304.0,2560.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,10,2560.0,2816.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,11,2816.0,3072.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,12,3072.0,3328.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,13,3328.0,3584.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,14,3584.0,3840.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,15,3840.0,4096.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,16,4096.0,4352.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,17,4352.0,4608.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,18,4608.0,4864.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,19,4864.0,5120.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,20,5120.0,5376.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,21,5376.0,5632.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,22,5632.0,5888.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,23,5888.0,6144.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,24,6144.0,6400.0,256.0,1.0,1,0.8359375,0.0,0.1640625,0.8359375,0.11086856617647059,0.11086856617647059
0,25,6400.0,6656.0,256.0,1.0,1,1.0,0.0,0.0,1.0,0.11086856617647059,0.11086856617647059
0,26,6656.0,6912.0,256.0,1.0,1,0.99609375,0.00390625,0.0,0.99609375,0.11086856617647059,0.11086856617647059
0,27,6912.0,7168.0,256.0,1.0,1,0.67578125,0.32421875,0.0,0.67578125,0.11086856617647059,0.11086856617647059
0,28,7168.0,7424.0,256.0,1.0,1,0.0,1.0,0.0,0.0,0.11086856617647059,0.11086856617647059
0,29,7424.0,7680.0,256.0,1.0,1,0.26171875,0.69140625,0.046875,0.26171875,0.11086856617647059,0.11086856617647059
0,30,7680.0,7936.0,256.0,1.0,1,0.0,0.0,1.0,0.0,0.11086856617647059,0.11086856617647059
0,31,7936.0,8192.0,256.0,1.0,1,0.0,0.5078125,0.4921875,0.0,0.11086856617647059,0.11086856617647059
0,32,8192.0,8448.0,256.0,1.0,1,0.0,1.0,0.0,0.0,0.11086856617647059,0.11086856617647059
0,33,8448.0,8704.0,256.0,1.0,1,0.0,0.515625,0.484375,0.0,0.11086856617647059,0.11086856617647059
